date,economic_cycle,economic_cycle_6_1,economic_cycle_6_3,economic_cycle_12_1,economic_cycle_12_3,real,6_1,6_3,12_1,12_3,check_6_1,check_6_3,check_12_1,check_12_3,,,
2003-02,둔화,하강,하강,하강,하강,0,-1,-1,-1,-1,,,,,,하강,-1
2003-03,둔화,하강,하강,하강,하강,0,-1,-1,-1,-1,,,,,,회복,0
2003-04,하강,하강,하강,하강,하강,-1,-1,-1,-1,-1,o,o,o,o,,상승,1
2003-05,하강,하강,하강,하강,하강,-1,-1,-1,-1,-1,o,o,o,o,,둔화,0
2003-06,하강,하강,하강,하강,회복,-1,-1,-1,-1,0,o,o,o,,,급하강,-2
2003-07,하강,회복,회복,하강,회복,-1,0,0,-1,0,,,o,,,급회복,2
2003-08,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2003-09,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,Accuracy,
2003-10,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,6_1,0.656108597
2003-11,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,6_3,0.65158371
2003-12,회복,회복,회복,회복,상승,0,0,0,0,1,o,o,o,,,12_1,0.918552036
2004-01,회복,회복,회복,회복,상승,0,0,0,0,1,o,o,o,,,12_3,0.538461538
2004-02,상승,상승,상승,회복,상승,1,1,1,0,1,o,o,,o,,,
2004-03,상승,상승,둔화,상승,둔화,1,1,0,1,0,o,,o,,,,
2004-04,둔화,상승,둔화,둔화,둔화,0,1,0,0,0,,o,o,o,,,
2004-05,둔화,둔화,둔화,둔화,둔화,0,0,0,0,0,o,o,o,o,,,
2004-06,둔화,둔화,둔화,둔화,둔화,0,0,0,0,0,o,o,o,o,,,
2004-07,둔화,둔화,둔화,둔화,둔화,0,0,0,0,0,o,o,o,o,,,
2004-08,둔화,둔화,급하강,둔화,하강,0,0,-2,0,-1,o,,o,,,,
2004-09,둔화,둔화,급하강,둔화,하강,0,0,-2,0,-1,o,,o,,,,
2004-10,둔화,둔화,하강,둔화,하강,0,0,-1,0,-1,o,,o,,,,
2004-11,둔화,하강,하강,하강,하강,0,-1,-1,-1,-1,,,,,,,
2004-12,하강,하강,하강,하강,회복,-1,-1,-1,-1,0,o,o,o,,,,
2005-01,하강,하강,하강,하강,회복,-1,-1,-1,-1,0,o,o,o,,,,
2005-02,하강,회복,하강,하강,회복,-1,0,-1,-1,0,,o,o,,,,
2005-03,하강,회복,급회복,하강,회복,-1,0,2,-1,0,,,o,,,,
2005-04,하강,회복,급회복,하강,회복,-1,0,2,-1,0,,,o,,,,
2005-05,하강,회복,회복,회복,회복,-1,0,0,0,0,,,,,,,
2005-06,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2005-07,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2005-08,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2005-09,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2005-10,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2005-11,회복,회복,둔화,회복,회복,0,0,0,0,0,o,,o,o,,,
2005-12,회복,회복,둔화,회복,둔화,0,0,0,0,0,o,,o,,,,
2006-01,회복,회복,둔화,회복,둔화,0,0,0,0,0,o,,o,,,,
2006-02,둔화,하강,둔화,둔화,둔화,0,-1,0,0,0,,o,o,o,,,
2006-03,둔화,하강,둔화,둔화,둔화,0,-1,0,0,0,,o,o,o,,,
2006-04,둔화,하강,둔화,둔화,둔화,0,-1,0,0,0,,o,o,o,,,
2006-05,둔화,하강,하강,둔화,둔화,0,-1,-1,0,0,,,o,o,,,
2006-06,둔화,하강,하강,둔화,둔화,0,-1,-1,0,0,,,o,o,,,
2006-07,둔화,하강,하강,둔화,둔화,0,-1,-1,0,0,,,o,o,,,
2006-08,하강,회복,회복,회복,회복,-1,0,0,0,0,,,,,,,
2006-09,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2006-10,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2006-11,회복,회복,회복,회복,회복,0,0,0,0,0,o,o,o,o,,,
2006-12,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-01,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-02,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-03,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-04,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-05,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-06,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-07,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-08,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-09,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-10,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-11,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2007-12,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2008-01,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2008-02,상승,상승,상승,상승,상승,1,1,1,1,1,o,o,o,o,,,
2008-03,상승,상승,둔화,상승,둔화,1,1,0,1,0,o,,o,,,,
2008-04,둔화,상승,둔화,둔화,둔화,0,1,0,0,0,,o,o,o,,,
2008-05,둔화,상승,둔화,둔화,둔화,0,1,0,0,0,,o,o,o,,,
2008-06,둔화,둔화,둔화,둔화,둔화,0,0,0,0,0,o,o,o,o,,,
2008-07,둔화,둔화,둔화,둔화,하강,0,0,0,0,-1,o,o,o,,,,
2008-08,급하강,둔화,급하강,둔화,하강,-2,0,-2,0,-1,,o,,,,,
2008-09,급하강,둔화,급하강,급하강,하강,-2,0,-2,-2,-1,,o,o,,,,
2008-10,급하강,급하강,급하강,급하강,급하강,-2,-2,-2,-2,-2,o,o,o,o,,,
2008-11,급하강,급하강,급하강,급하강,급하강,-2,-2,-2,-2,-2,o,o,o,o,,,
2008-12,급하강,급하강,급하강,급하강,급하강,-2,-2,-2,-2,-2,o,o,o,o,,,
2009-01,급하강,급하강,급하강,급하강,급하강,-2,-2,-2,-2,-2,o,o,o,o,,,
