,"icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon15_nx_[12, 1]","icon15_ny_[12, 1]",cluster_label,date
0,-0.96352028,0.575046705,0.202510668,-0.565929216,-2.361761341,-0.584274915,-1.361950502,-1.487768933,-0.848971591,-0.394618349,-0.92990273,1.501820782,-0.276850694,-0.332749063,-1.645209488,-0.10083413,-1.307788894,0.117795986,-0.859554894,0.502929132,0,2003/02
1,-0.962897733,0.767992844,-0.275605599,-0.512789952,-1.917262624,-0.197623505,-0.609913457,-1.366687323,-1.104215952,-0.173078225,-0.395134666,1.579378804,-0.458634482,-0.242412313,-1.515097119,0.204210552,-1.12476001,0.34363786,-0.681506388,0.638560778,0,2003/03
2,-0.921187069,0.952335483,-0.254438994,-0.463952437,-1.256117474,0.054788001,-0.162924552,-1.336448551,-1.338916255,0.096160715,0.040025843,1.568371385,-0.761192433,-0.090585843,-1.241176341,0.453712051,-0.776133566,0.49850086,-0.432487499,0.723710124,2,2003/04
3,-0.653491763,1.082273637,0.173873495,-0.502288621,-0.59808506,0.173465692,-0.112498227,-1.316458066,-1.25487238,0.348319177,0.467715784,1.470443311,-0.786094321,0.066301509,-0.868270555,0.627173793,-0.395134666,0.575932359,-0.33599268,0.789122028,2,2003/05
4,-0.202767574,1.12060982,0.394877759,-0.585413613,-0.143625588,0.19978228,-0.162302005,-1.286345816,-0.898775369,0.528107021,1.413987562,1.18020171,-0.429374763,0.150691722,-0.494742221,0.724848822,-0.011645577,0.575426271,-0.273737957,0.841881726,2,2003/06
5,0.284686901,1.059879232,0.330755396,-0.655380312,0.167025476,0.162837839,-0.378325891,-1.212330412,-0.456144294,0.617811161,2.219563668,0.726240565,0.062437543,0.135129508,-0.154831438,0.753442807,0.420402196,0.487113875,-0.084483602,0.856178719,1,2003/07
6,0.978204507,0.858203071,0.380559173,-0.735595297,0.256049729,0.107927266,-0.765550263,-1.059618288,0.054966976,0.603767212,2.896272499,0.134749942,0.408573798,0.049094509,0.137143209,0.722697947,0.849959779,0.311501258,0.196285195,0.813540785,1,2003/08
7,1.43017379,0.564671896,0.655725046,-0.871733031,0.194417554,0.065542376,-1.10919633,-0.837065987,0.313324073,0.537343132,3.165212899,-0.511398209,0.749107129,-0.105895013,0.465225596,0.625275962,1.242787076,0.056053222,0.506313712,0.707768344,1,2003/09
8,1.59390371,0.23786542,1.164346126,-1.111239288,0.041893484,0.054155391,-1.366308333,-0.562133555,0.297760393,0.473955581,3.102335629,-1.144894155,0.894160632,-0.290490696,0.823812796,0.454977272,1.405894449,-0.232543593,0.839999023,0.53418008,1,2003/10
9,1.507992193,-0.071481013,1.425193412,-1.403758286,-0.146115777,0.080978068,-1.454710038,-0.269361512,0.243598784,0.421575448,2.854561835,-1.727781277,0.872371479,-0.470658107,1.125125651,0.223568427,1.298816326,-0.499378614,1.056645457,0.31656214,1,2003/11
