,date,icon01_x,icon01_y,icon02_x,icon02_y,icon03_x,icon03_y,icon04_x,icon04_y,icon05_x,icon05_y,icon06_x,icon06_y,icon07_x,icon07_y,icon08_x,icon08_y,icon11_x,icon11_y,icon15_x,icon15_y,icon01_nx,icon01_ny,icon02_nx,icon02_ny,icon03_nx,icon03_ny,icon04_nx,icon04_ny,icon05_nx,icon05_ny,icon06_nx,icon06_ny,icon07_nx,icon07_ny,icon08_nx,icon08_ny,icon11_nx,icon11_ny,icon15_nx,icon15_ny,"icon01_nx_[6, 1]","icon01_ny_[6, 1]","icon01_nx_[6, 3]","icon01_ny_[6, 3]","icon01_nx_[12, 1]","icon01_ny_[12, 1]","icon01_nx_[12, 3]","icon01_ny_[12, 3]","icon02_nx_[6, 1]","icon02_ny_[6, 1]","icon02_nx_[6, 3]","icon02_ny_[6, 3]","icon02_nx_[12, 1]","icon02_ny_[12, 1]","icon02_nx_[12, 3]","icon02_ny_[12, 3]","icon03_nx_[6, 1]","icon03_ny_[6, 1]","icon03_nx_[6, 3]","icon03_ny_[6, 3]","icon03_nx_[12, 1]","icon03_ny_[12, 1]","icon03_nx_[12, 3]","icon03_ny_[12, 3]","icon04_nx_[6, 1]","icon04_ny_[6, 1]","icon04_nx_[6, 3]","icon04_ny_[6, 3]","icon04_nx_[12, 1]","icon04_ny_[12, 1]","icon04_nx_[12, 3]","icon04_ny_[12, 3]","icon05_nx_[6, 1]","icon05_ny_[6, 1]","icon05_nx_[6, 3]","icon05_ny_[6, 3]","icon05_nx_[12, 1]","icon05_ny_[12, 1]","icon05_nx_[12, 3]","icon05_ny_[12, 3]","icon06_nx_[6, 1]","icon06_ny_[6, 1]","icon06_nx_[6, 3]","icon06_ny_[6, 3]","icon06_nx_[12, 1]","icon06_ny_[12, 1]","icon06_nx_[12, 3]","icon06_ny_[12, 3]","icon07_nx_[6, 1]","icon07_ny_[6, 1]","icon07_nx_[6, 3]","icon07_ny_[6, 3]","icon07_nx_[12, 1]","icon07_ny_[12, 1]","icon07_nx_[12, 3]","icon07_ny_[12, 3]","icon08_nx_[6, 1]","icon08_ny_[6, 1]","icon08_nx_[6, 3]","icon08_ny_[6, 3]","icon08_nx_[12, 1]","icon08_ny_[12, 1]","icon08_nx_[12, 3]","icon08_ny_[12, 3]","icon11_nx_[6, 1]","icon11_ny_[6, 1]","icon11_nx_[6, 3]","icon11_ny_[6, 3]","icon11_nx_[12, 1]","icon11_ny_[12, 1]","icon11_nx_[12, 3]","icon11_ny_[12, 3]","icon15_nx_[6, 1]","icon15_ny_[6, 1]","icon15_nx_[6, 3]","icon15_ny_[6, 3]","icon15_nx_[12, 1]","icon15_ny_[12, 1]","icon15_nx_[12, 3]","icon15_ny_[12, 3]"
0,2003/02,238.4324951,287.5904041,277.2035941,254.4041636,191.9402962,253.8705636,225.1844954,227.5916832,242.241295,259.3868837,239.550295,314.5464044,261.2645945,261.1864037,215.7659956,267.9318438,226.9853953,274.2908839,241.889395,285.492804,-0.96352028,0.575046705,0.202510668,-0.565929216,-2.361761341,-0.584274915,-1.361950502,-1.487768933,-0.848971591,-0.394618349,-0.92990273,1.501820782,-0.276850694,-0.332749063,-1.645209488,-0.10083413,-1.307788894,0.117795986,-0.859554894,0.502929132,-0.96352028,0.575046705,-0.96352028,0.575046705,-0.96352028,0.575046705,-0.96352028,0.575046705,0.202510668,-0.565929216,0.202510668,-0.565929216,0.202510668,-0.565929216,0.202510668,-0.565929216,-2.361761341,-0.584274915,-2.361761341,-0.584274915,-2.361761341,-0.584274915,-2.361761341,-0.584274915,-1.361950502,-1.487768933,-1.361950502,-1.487768933,-1.361950502,-1.487768933,-1.361950502,-1.487768933,-0.848971591,-0.394618349,-0.848971591,-0.394618349,-0.848971591,-0.394618349,-0.848971591,-0.394618349,-0.92990273,1.501820782,-0.92990273,1.501820782,-0.92990273,1.501820782,-0.92990273,1.501820782,-0.276850694,-0.332749063,-0.276850694,-0.332749063,-0.276850694,-0.332749063,-0.276850694,-0.332749063,-1.645209488,-0.10083413,-1.645209488,-0.10083413,-1.645209488,-0.10083413,-1.645209488,-0.10083413,-1.307788894,0.117795986,-1.307788894,0.117795986,-1.307788894,0.117795986,-1.307788894,0.117795986,-0.859554894,0.502929132,-0.859554894,0.502929132,-0.859554894,0.502929132,-0.859554894,0.502929132
1,2003/03,238.4531951,293.2024041,261.3059945,255.9497636,206.7200958,265.1166437,250.1900948,231.1134433,233.7542952,265.8305638,257.3315946,316.8022445,255.2201946,263.8139237,220.0922955,276.8043239,233.0711952,280.859684,247.8095948,289.4377641,-0.962897733,0.767992844,-0.275605599,-0.512789952,-1.917262624,-0.197623505,-0.609913457,-1.366687323,-1.104215952,-0.173078225,-0.395134666,1.579378804,-0.458634482,-0.242412313,-1.515097119,0.204210552,-1.12476001,0.34363786,-0.681506388,0.638560778,-0.962897733,0.767992844,-0.962897733,0.767992844,-0.962897733,0.767992844,-0.962897733,0.767992844,-0.275605599,-0.512789952,-0.275605599,-0.512789952,-0.275605599,-0.512789952,-0.275605599,-0.512789952,-1.917262624,-0.197623505,-1.917262624,-0.197623505,-1.917262624,-0.197623505,-1.917262624,-0.197623505,-0.609913457,-1.366687323,-0.609913457,-1.366687323,-0.609913457,-1.366687323,-0.609913457,-1.366687323,-1.104215952,-0.173078225,-1.104215952,-0.173078225,-1.104215952,-0.173078225,-1.104215952,-0.173078225,-0.395134666,1.579378804,-0.395134666,1.579378804,-0.395134666,1.579378804,-0.395134666,1.579378804,-0.458634482,-0.242412313,-0.458634482,-0.242412313,-0.458634482,-0.242412313,-0.458634482,-0.242412313,-1.515097119,0.204210552,-1.515097119,0.204210552,-1.515097119,0.204210552,-1.515097119,0.204210552,-1.12476001,0.34363786,-1.12476001,0.34363786,-1.12476001,0.34363786,-1.12476001,0.34363786,-0.681506388,0.638560778,-0.681506388,0.638560778,-0.681506388,0.638560778,-0.681506388,0.638560778
2,2003/04,239.840095,298.5641642,262.0097945,257.3702436,228.7034953,272.4582438,265.0526944,231.9929633,225.9503954,273.6616039,271.8008942,316.4820845,245.1599949,268.2299238,229.2002953,284.061284,244.6631949,285.364004,256.0895946,291.9144041,-0.921187069,0.952335483,-0.254438994,-0.463952437,-1.256117474,0.054788001,-0.162924552,-1.336448551,-1.338916255,0.096160715,0.040025843,1.568371385,-0.761192433,-0.090585843,-1.241176341,0.453712051,-0.776133566,0.49850086,-0.432487499,0.723710124,-0.921187069,0.952335483,-0.921187069,0.952335483,-0.921187069,0.952335483,-0.921187069,0.952335483,-0.254438994,-0.463952437,-0.254438994,-0.463952437,-0.254438994,-0.463952437,-0.254438994,-0.463952437,-1.256117474,0.054788001,-1.256117474,0.054788001,-1.256117474,0.054788001,-1.256117474,0.054788001,-0.162924552,-1.336448551,-0.162924552,-1.336448551,-0.162924552,-1.336448551,-0.162924552,-1.336448551,-1.338916255,0.096160715,-1.338916255,0.096160715,-1.338916255,0.096160715,-1.338916255,0.096160715,0.040025843,1.568371385,0.040025843,1.568371385,0.040025843,1.568371385,0.040025843,1.568371385,-0.761192433,-0.090585843,-0.761192433,-0.090585843,-0.761192433,-0.090585843,-0.761192433,-0.090585843,-1.241176341,0.453712051,-1.241176341,0.453712051,-1.241176341,0.453712051,-1.241176341,0.453712051,-0.776133566,0.49850086,-0.776133566,0.49850086,-0.776133566,0.49850086,-0.776133566,0.49850086,-0.432487499,0.723710124,-0.432487499,0.723710124,-0.432487499,0.723710124,-0.432487499,0.723710124
3,2003/05,248.7410948,302.3435243,276.2513941,256.2552036,250.5833948,275.9100839,266.7293944,232.5744033,228.7448953,280.995844,286.0217939,313.6337644,244.3319949,272.7931239,241.599595,289.1065641,257.3315946,287.6161641,259.2980945,293.8169641,-0.653491763,1.082273637,0.173873495,-0.502288621,-0.59808506,0.173465692,-0.112498227,-1.316458066,-1.25487238,0.348319177,0.467715784,1.470443311,-0.786094321,0.066301509,-0.868270555,0.627173793,-0.395134666,0.575932359,-0.33599268,0.789122028,-0.653491763,1.082273637,-0.653491763,1.082273637,-0.653491763,1.082273637,-0.653491763,1.082273637,0.173873495,-0.502288621,0.173873495,-0.502288621,0.173873495,-0.502288621,0.173873495,-0.502288621,-0.59808506,0.173465692,-0.59808506,0.173465692,-0.59808506,0.173465692,-0.59808506,0.173465692,-0.112498227,-1.316458066,-0.112498227,-1.316458066,-0.112498227,-1.316458066,-0.112498227,-1.316458066,-1.25487238,0.348319177,-1.25487238,0.348319177,-1.25487238,0.348319177,-1.25487238,0.348319177,0.467715784,1.470443311,0.467715784,1.470443311,0.467715784,1.470443311,0.467715784,1.470443311,-0.786094321,0.066301509,-0.786094321,0.066301509,-0.786094321,0.066301509,-0.786094321,0.066301509,-0.868270555,0.627173793,-0.868270555,0.627173793,-0.868270555,0.627173793,-0.868270555,0.627173793,-0.395134666,0.575932359,-0.395134666,0.575932359,-0.395134666,0.575932359,-0.395134666,0.575932359,-0.33599268,0.789122028,-0.33599268,0.789122028,-0.33599268,0.789122028,-0.33599268,0.789122028
4,2003/06,263.7278944,303.4585643,283.5998939,253.8374436,265.6943944,276.6755239,265.0733944,233.4502433,240.585295,286.225124,317.4857931,305.1918443,256.1930946,275.2476839,254.0195947,291.9475241,270.0827943,287.6014441,261.3680945,295.3515242,-0.202767574,1.12060982,0.394877759,-0.585413613,-0.143625588,0.19978228,-0.162302005,-1.286345816,-0.898775369,0.528107021,1.413987562,1.18020171,-0.429374763,0.150691722,-0.494742221,0.724848822,-0.011645577,0.575426271,-0.273737957,0.841881726,-0.202767574,1.12060982,-0.202767574,1.12060982,-0.202767574,1.12060982,-0.202767574,1.12060982,0.394877759,-0.585413613,0.394877759,-0.585413613,0.394877759,-0.585413613,0.394877759,-0.585413613,-0.143625588,0.19978228,-0.143625588,0.19978228,-0.143625588,0.19978228,-0.143625588,0.19978228,-0.162302005,-1.286345816,-0.162302005,-1.286345816,-0.162302005,-1.286345816,-0.162302005,-1.286345816,-0.898775369,0.528107021,-0.898775369,0.528107021,-0.898775369,0.528107021,-0.898775369,0.528107021,1.413987562,1.18020171,1.413987562,1.18020171,1.413987562,1.18020171,1.413987562,1.18020171,-0.429374763,0.150691722,-0.429374763,0.150691722,-0.429374763,0.150691722,-0.429374763,0.150691722,-0.494742221,0.724848822,-0.494742221,0.724848822,-0.494742221,0.724848822,-0.494742221,0.724848822,-0.011645577,0.575426271,-0.011645577,0.575426271,-0.011645577,0.575426271,-0.011645577,0.575426271,-0.273737957,0.841881726,-0.273737957,0.841881726,-0.273737957,0.841881726,-0.273737957,0.841881726
5,2003/07,279.935994,301.6921643,281.467794,251.8024036,276.0236941,275.6009639,257.8904946,235.6030433,255.3029946,288.8342441,344.2715925,291.9880041,272.5460942,274.7950439,265.3217944,292.7792041,284.4485939,285.032804,267.6608943,295.7673642,0.284686901,1.059879232,0.330755396,-0.655380312,0.167025476,0.162837839,-0.378325891,-1.212330412,-0.456144294,0.617811161,2.219563668,0.726240565,0.062437543,0.135129508,-0.154831438,0.753442807,0.420402196,0.487113875,-0.084483602,0.856178719,0.284686901,1.059879232,0.284686901,1.059879232,0.284686901,1.059879232,0.284686901,1.059879232,0.330755396,-0.655380312,0.330755396,-0.655380312,0.330755396,-0.655380312,0.330755396,-0.655380312,0.167025476,0.162837839,0.167025476,0.162837839,0.167025476,0.162837839,0.167025476,0.162837839,-0.378325891,-1.212330412,-0.378325891,-1.212330412,-0.378325891,-1.212330412,-0.378325891,-1.212330412,-0.456144294,0.617811161,-0.456144294,0.617811161,-0.456144294,0.617811161,-0.456144294,0.617811161,2.219563668,0.726240565,2.219563668,0.726240565,2.219563668,0.726240565,2.219563668,0.726240565,0.062437543,0.135129508,0.062437543,0.135129508,0.062437543,0.135129508,0.062437543,0.135129508,-0.154831438,0.753442807,-0.154831438,0.753442807,-0.154831438,0.753442807,-0.154831438,0.753442807,0.420402196,0.487113875,0.420402196,0.487113875,0.420402196,0.487113875,0.420402196,0.487113875,-0.084483602,0.856178719,-0.084483602,0.856178719,-0.084483602,0.856178719,-0.084483602,0.856178719
6,2003/08,302.9957935,295.8262442,283.123794,249.4692835,278.9837941,274.0038439,245.0150949,240.0448034,272.2976942,288.4257641,366.7724919,274.7840039,284.0552939,272.2926438,275.0300942,291.8849641,298.7315936,279.924964,276.9965941,294.5272042,0.978204507,0.858203071,0.380559173,-0.735595297,0.256049729,0.107927266,-0.765550263,-1.059618288,0.054966976,0.603767212,2.896272499,0.134749942,0.408573798,0.049094509,0.137143209,0.722697947,0.849959779,0.311501258,0.196285195,0.813540785,0.547713102,0.745611092,0.978204507,0.858203071,0.978204507,0.858203071,0.978204507,0.858203071,0.220440028,-0.76050749,0.380559173,-0.735595297,0.380559173,-0.735595297,0.380559173,-0.735595297,0.364061672,0.19937741,0.256049729,0.107927266,0.256049729,0.107927266,0.256049729,0.107927266,-0.479116286,-0.911144652,-0.765550263,-1.059618288,-0.765550263,-1.059618288,-0.765550263,-1.059618288,-0.008844114,0.655059255,0.054966976,0.603767212,0.054966976,0.603767212,0.054966976,0.603767212,2.617744872,0.27279816,2.896272499,0.134749942,2.896272499,0.134749942,2.896272499,0.134749942,0.321790715,0.052814257,0.408573798,0.049094509,0.408573798,0.049094509,0.408573798,0.049094509,0.144551521,0.64837889,0.137143209,0.722697947,0.137143209,0.722697947,0.137143209,0.722697947,0.768219329,0.346699694,0.849959779,0.311501258,0.849959779,0.311501258,0.849959779,0.311501258,0.062188524,0.878117643,0.196285195,0.813540785,0.196285195,0.813540785,0.196285195,0.813540785
7,2003/09,318.0239931,287.2886441,292.2731937,245.5096035,276.9344941,272.7710439,233.5886952,246.5179235,280.888194,286.493764,375.7148917,255.9902436,295.3781937,267.7846438,285.9389939,289.0513641,311.7932933,272.4950438,287.3051939,291.4507241,1.43017379,0.564671896,0.655725046,-0.871733031,0.194417554,0.065542376,-1.10919633,-0.837065987,0.313324073,0.537343132,3.165212899,-0.511398209,0.749107129,-0.105895013,0.465225596,0.625275962,1.242787076,0.056053222,0.506313712,0.707768344,1.156502031,0.581258938,1.43017379,0.564671896,1.43017379,0.564671896,1.43017379,0.564671896,0.354038662,-0.832852803,0.655725046,-0.871733031,0.655725046,-0.871733031,0.655725046,-0.871733031,0.300935384,0.054522305,0.194417554,0.065542376,0.194417554,0.065542376,0.194417554,0.065542376,-1.037416635,-0.85922,-1.10919633,-0.837065987,-1.10919633,-0.837065987,-1.10919633,-0.837065987,0.34426467,0.551045471,0.313324073,0.537343132,0.313324073,0.537343132,0.313324073,0.537343132,3.001233961,-0.335292156,3.165212899,-0.511398209,3.165212899,-0.511398209,3.165212899,-0.511398209,0.472945181,-0.089270014,0.749107129,-0.105895013,0.749107129,-0.105895013,0.749107129,-0.105895013,0.230898821,0.57839954,0.465225596,0.625275962,0.465225596,0.625275962,0.465225596,0.625275962,1.049548418,0.218241849,1.242787076,0.056053222,1.242787076,0.056053222,1.242787076,0.056053222,0.447981037,0.692876698,0.506313712,0.707768344,0.506313712,0.707768344,0.506313712,0.707768344
8,2003/10,323.468093,277.7832039,309.1850933,238.5433634,271.8629942,272.4398438,225.0395954,254.5145636,280.370694,284.650084,373.6241917,237.5644834,300.2012935,262.4155237,297.8621936,284.098084,317.2166931,264.1009637,298.4003936,286.401764,1.59390371,0.23786542,1.164346126,-1.111239288,0.041893484,0.054155391,-1.366308333,-0.562133555,0.297760393,0.473955581,3.102335629,-1.144894155,0.894160632,-0.290490696,0.823812796,0.454977272,1.405894449,-0.232543593,0.839999023,0.53418008,1.252996851,0.419095616,1.268062493,0.381872826,1.59390371,0.23786542,1.59390371,0.23786542,1.02122252,-0.902237499,0.652052017,-1.230296544,1.164346126,-1.111239288,1.164346126,-1.111239288,0.115540821,0.021778396,0.359205804,0.195948662,0.041893484,0.054155391,0.041893484,0.054155391,-1.384237693,-0.679761112,-0.246657153,-0.601355393,-1.366308333,-0.562133555,-1.366308333,-0.562133555,0.335050971,0.504282918,0.424511007,0.770978764,0.297760393,0.473955581,0.297760393,0.473955581,2.727873475,-1.099396823,2.615005664,0.122236911,3.102335629,-1.144894155,3.102335629,-1.144894155,0.799844728,-0.271436474,0.736220401,0.011011369,0.894160632,-0.290490696,0.894160632,-0.290490696,0.767659036,0.524665621,0.677016161,0.485393175,0.823812796,0.454977272,0.823812796,0.454977272,1.395186636,-0.133818431,0.954858986,0.179968926,1.405894449,-0.232543593,1.405894449,-0.232543593,0.71629889,0.569985823,0.447109471,0.682425976,0.839999023,0.53418008,0.839999023,0.53418008
9,2003/11,320.611493,268.7856038,317.8583931,230.0352033,265.6115944,273.2200039,222.1001955,263.0300837,278.5697941,283.126564,365.3855919,220.6107231,299.4767936,257.1752036,307.8809933,277.3673639,313.6562932,256.3398436,305.6039934,280.072164,1.507992193,-0.071481013,1.425193412,-1.403758286,-0.146115777,0.080978068,-1.454710038,-0.269361512,0.243598784,0.421575448,2.854561835,-1.727781277,0.872371479,-0.470658107,1.125125651,0.223568427,1.298816326,-0.499378614,1.056645457,0.31656214,1.560348414,0.08741804,0.997814744,0.129739669,1.507992193,-0.071481013,1.507992193,-0.071481013,1.319049111,-1.309372831,1.28779724,-1.403758286,1.425193412,-1.403758286,1.425193412,-1.403758286,-0.068235119,0.081901679,-0.156761334,0.022069397,-0.146115777,0.080978068,-0.146115777,0.080978068,-1.492809928,-0.329472142,-0.973356526,-0.113233292,-1.454710038,-0.269361512,-1.454710038,-0.269361512,0.282881514,0.425383762,0.156566683,0.607461656,0.243598784,0.421575448,0.243598784,0.421575448,2.75022292,-1.68500417,2.381861729,-1.727781277,2.854561835,-1.727781277,2.854561835,-1.727781277,0.935435513,-0.328801575,0.391702769,-0.266071938,0.872371479,-0.470658107,0.872371479,-0.470658107,1.104768357,0.279326698,0.711194003,0.231362186,1.125125651,0.223568427,1.125125651,0.223568427,1.185512732,-0.399615971,0.648877026,-0.37695587,1.298816326,-0.499378614,1.298816326,-0.499378614,0.971418742,0.330998307,-0.10066983,0.509356452,1.056645457,0.31656214,1.056645457,0.31656214
